FDR_VALUES	clust1	clust2	clust3	clust4	clust5	clust6	clust7	clust8	clust9	clust10	clust11	clust12	clust13	clust14	clust15	clust16	clust17	clust18	clust19	clust20	clust21	clust22	clust23
B_CELLS	1	0.62114662047131	1	0.965002081892154	1	0.940695809103114	0.41679295123717	0.724117961531196	1	0.918408530642218	1	0.61089123243916	0.788605353251537	0.879679544591788	0.665283631751832	0.263679746544977	0.67308498070013	0.50608217142454	1	0.881267368917206	0.940131200838584	1	0.500781071197913
MACROPHAGES	0.427963920446689	0.370140290249427	0.380115265113481	0.911959898837891	0.438772370748803	0.349015533590616	0.41679295123717	0.747607402520137	0.36412932261072	0.580185460181235	0.440839558089543	0.687849399677356	0.666178668551864	0.439956254856852	0.4454705770335	0.27857286188485	0.396597666683512	0.248286401609341	0.375713188051901	0.483382375076056	0.428201181110772	0.380186000513163	0.362558677952252
DENDRITIC_CELLS	0.427963920446689	0.581486442043446	0.500467789458298	0.394851802158161	0.331773104405733	0.994494762665454	0.655165814759588	0.370861528686052	0.448579162763727	0.37786150371784	0.371459366400051	0.271615520955522	0.927057519485576	0.438907815702536	0.665283631751832	0.27857286188485	0.396597666683512	0.253374980190295	0.395429509162398	0.483382375076056	0.35343306472091	0.660758848551367	0.388666020833741
T_CELLS	0.427963920446689	0.386193510221372	0.52130648305126	0.405939452075654	0.331041717240456	0.630255589968594	0.41679295123717	1	0.487930676892755	0.508571571900007	0.590442613482929	0.61089123243916	0.431343056083406	0.586656817935919	0.695730565438698	0.27857286188485	0.396597666683512	0.26714998817699	0.338972526404235	0.684543477502627	0.870810297319961	0.590989377981531	0.849226220745355
ENDOTHELIAL_CELL	0.427963920446689	0.412618773834937	0.408789365438931	0.400677870163419	0.318402269437444	0.952385374424473	0.453606190513495	0.643068507008039	0.410315137688421	0.721235216542604	0.339309088514786	0.61089123243916	0.367463215643549	0.450719532235755	0.359344885725836	0.27857286188485	0.396597666683512	1	0.500121468224193	0.530330552377462	0.388339745195575	0.509447033620045	0.457571759442471
MAST_CELLS	0.60490545614737	0.483036254054485	1	1	0.964796049182174	0.955666335701849	0.626319447416751	1	0.909111340720591	0.702964291727951	0.980869607772783	0.639966216866943	0.813715019054044	0.854335811157531	0.837641067016745	0.27857286188485	1	0.683961257592175	0.996876481244188	0.420555004306384	1	1	0.51798949180273
FIBROBLASTS	0.427963920446689	0.486035038472492	0.688956728885165	0.434699517077101	0.549784121311451	1	0.520394102037839	0.459654115817691	0.720536058034193	0.386306938796365	0.402519636903591	0.7166211568143	0.495671458031028	0.364597889942884	0.666987594211544	1	0.396597666683512	0.248979465282323	0.526402708528369	0.574526936091105	0.531155015510933	0.894528259871044	0.519246829706478
CANCER_CELLS	0.50726414719918	0.897711244541696	0.446288409989663	0.913420080806286	0.411244861171144	0.724212656402761	0.41679295123717	0.527840842333446	0.391741991138293	0.742515107471125	0.925150394928378	0.749598877436452	0.955039960837021	0.972399726888384	0.854951729591566	0.605171979471207	0.396597666683512	0.26540249096206	0.896150850151661	0.523613259880583	0.332048184478328	0.517473796424599	0.743037508803181
