CLASS	ColumnHeader	EnrichmentScore	p.Val	FDR	PassCutoff_p0.05_fdr0.1
FIBROBLASTS	clust11	0.632356857523178	0.120642087534298	0.402519636903591	0
CANCER_CELLS	clust11	0.0610149523648046	0.391927486315168	0.925150394928378	0
B_CELLS	clust12	0.493137296960372	0.247721077762714	0.61089123243916	0
MACROPHAGES	clust12	0.243742233268392	0.441296698490608	0.687849399677356	0
DENDRITIC_CELLS	clust12	-0.879596214538549	0.0119861870875875	0.271615520955522	0
T_CELLS	clust12	0.536658973903844	0.219209478350925	0.61089123243916	0
ENDOTHELIAL_CELL	clust12	0.576424640511323	0.194891570647487	0.61089123243916	0
MAST_CELLS	clust12	0.0565887000132814	0.400116967606842	0.639966216866943	0
FIBROBLASTS	clust12	0.221369208870956	0.460260258713962	0.7166211568143	0
CANCER_CELLS	clust12	0.149829825646504	0.478706751417223	0.749598877436452	0
B_CELLS	clust13	-0.120012427322266	0.353670411040927	0.788605353251537	0
MACROPHAGES	clust13	-0.299485176637354	0.23289506885648	0.666178668551864	0
DENDRITIC_CELLS	clust13	8.87665882239319e-05	0.444885838950218	0.927057519485576	0
T_CELLS	clust13	-0.644061778803058	0.0794408374961151	0.431343056083406	0
ENDOTHELIAL_CELL	clust13	0.905911592401917	0.0497104061502828	0.367463215643549	0
MAST_CELLS	clust13	-0.092716701433525	0.37387661905677	0.813715019054044	0
FIBROBLASTS	clust13	0.690209917357577	0.110795316244771	0.495671458031028	0
CANCER_CELLS	clust13	0.1230266025402	0.4586492022168	0.955039960837021	0
B_CELLS	clust14	-0.235142692290548	0.405471221091508	0.879679544591788	0
MACROPHAGES	clust14	-0.75776673175882	0.135550565549323	0.439956254856852	0
DENDRITIC_CELLS	clust14	-0.76009641655091	0.134716380346365	0.438907815702536	0
T_CELLS	clust14	-0.517841292383782	0.240368748333905	0.586656817935919	0
ENDOTHELIAL_CELL	clust14	0.554766554234035	0.143978587157938	0.450719532235755	0
MAST_CELLS	clust14	0.0725666858993944	0.394382158286718	0.854335811157531	0
FIBROBLASTS	clust14	0.923879272081646	0.0473671082105272	0.364597889942884	0
CANCER_CELLS	clust14	-0.000339261764739196	0.441265455308169	0.972399726888384	0
B_CELLS	clust15	0.406151524566133	0.260444412194054	0.665283631751832	0
MACROPHAGES	clust15	-0.594354695543709	0.0516827814949909	0.4454705770335	0
DENDRITIC_CELLS	clust15	-0.177751001052983	0.247228576326152	0.665283631751832	0
T_CELLS	clust15	0.246582638026069	0.389807135520315	0.695730565438698	0
ENDOTHELIAL_CELL	clust15	0.915941771702467	0.0360105211025871	0.359344885725836	0
MAST_CELLS	clust15	0.106653055789769	0.484939726137523	0.837641067016745	0
FIBROBLASTS	clust15	-0.0483799378606973	0.3484091198165	0.666987594211544	0
CANCER_CELLS	clust15	0.131478838566695	0.492586247137302	0.854951729591566	0
B_CELLS	clust16	0.893702010563223	0.0360475419862188	0.263679746544977	0
MACROPHAGES	clust16	0.376797443635829	0.221560350446849	0.27857286188485	0
DENDRITIC_CELLS	clust16	-0.509312840144185	0.158299699977944	0.27857286188485	0
T_CELLS	clust16	-0.436445943546597	0.195984925111662	0.27857286188485	0
ENDOTHELIAL_CELL	clust16	-0.431652760518017	0.198641183391486	0.27857286188485	0
MAST_CELLS	clust16	0.340197949491838	0.243874744596309	0.27857286188485	0
FIBROBLASTS	clust16	-0.0408344429649899	0.473477471003486	1	0
CANCER_CELLS	clust16	-0.252428015484615	0.312489135336413	0.605171979471207	0
B_CELLS	clust17	-0.143736122224583	0.346003365350528	0.67308498070013	0
MACROPHAGES	clust17	-0.958459080418443	0.0375917448585873	0.396597666683512	0
DENDRITIC_CELLS	clust17	-0.487247851673805	0.163706927446619	0.396597666683512	0
T_CELLS	clust17	0.687999289898827	0.154824210375951	0.396597666683512	0
ENDOTHELIAL_CELL	clust17	0.573761761051001	0.205535239719919	0.396597666683512	0
MAST_CELLS	clust17	0.0321335049487026	0.461145796290234	1	0
FIBROBLASTS	clust17	0.499225389402415	0.243381701813704	0.396597666683512	0
CANCER_CELLS	clust17	0.513041990512521	0.23609411184664	0.396597666683512	0
B_CELLS	clust18	-0.054983577779897	0.249976657248744	0.50608217142454	0
MACROPHAGES	clust18	0.830374578377417	0.119848354229345	0.248286401609341	0
DENDRITIC_CELLS	clust18	0.806737459999811	0.130009539814947	0.253374980190295	0
T_CELLS	clust18	0.773300195277825	0.145377784818896	0.26714998817699	0
ENDOTHELIAL_CELL	clust18	0.304100834369031	0.469754636265067	1	0
MAST_CELLS	clust18	0.0140695042385692	0.297969547907331	0.683961257592175	0
FIBROBLASTS	clust18	-0.29018580851529	0.121784597653274	0.248979465282323	0
CANCER_CELLS	clust18	-0.241095902259319	0.14377332225913	0.26540249096206	0
B_CELLS	clust19	-0.0543695353069377	0.461925021591627	1	0
MACROPHAGES	clust19	-0.81155689685733	0.102983799679354	0.375713188051901	0
DENDRITIC_CELLS	clust19	0.778291041815879	0.117004198474436	0.395429509162398	0
T_CELLS	clust19	0.983046334102609	0.0660012341589165	0.338972526404235	0
ENDOTHELIAL_CELL	clust19	-0.588318835433645	0.17877659105737	0.500121468224193	0
MAST_CELLS	clust19	0.116728063556846	0.433055404153387	0.996876481244188	0
FIBROBLASTS	clust19	-0.553928935209553	0.192988201367779	0.526402708528369	0
CANCER_CELLS	clust19	0.190391665002484	0.388840653058168	0.896150850151661	0
B_CELLS	clust20	0.00537037858946515	0.447743703240861	0.881267368917206	0
MACROPHAGES	clust20	0.5497958459081	0.136732831743748	0.483382375076056	0
DENDRITIC_CELLS	clust20	-0.677559849087542	0.140612347051614	0.483382375076056	0
T_CELLS	clust20	-0.242677081483812	0.379142211364018	0.684543477502627	0
ENDOTHELIAL_CELL	clust20	-0.410793538078826	0.272477417262953	0.530330552377462	0
MAST_CELLS	clust20	0.992454839998226	0.0301413812514509	0.420555004306384	0
FIBROBLASTS	clust20	-0.34278739458527	0.313855331431716	0.574526936091105	0
CANCER_CELLS	clust20	-0.424502016464542	0.264476717569062	0.523613259880583	0
B_CELLS	clust21	0.0333318538901612	0.400036797313044	0.940131200838584	0
MACROPHAGES	clust21	0.588851411326161	0.148826029848486	0.428201181110772	0
DENDRITIC_CELLS	clust21	0.69473410946062	0.0988278345795557	0.35343306472091	0
T_CELLS	clust21	-0.000887626486548498	0.369564793331593	0.870810297319961	0
ENDOTHELIAL_CELL	clust21	-0.352565240546445	0.124526796915744	0.388339745195575	0
MAST_CELLS	clust21	0.1487284186232	0.493737019388741	1	0
FIBROBLASTS	clust21	0.498046644524773	0.203313044649012	0.531155015510933	0
CANCER_CELLS	clust21	-0.47430093209089	0.0754475395132966	0.332048184478328	0
B_CELLS	clust22	0.130309351560042	0.476097402917511	1	0
MACROPHAGES	clust22	-0.716580862772502	0.0336189659512674	0.380186000513163	0
DENDRITIC_CELLS	clust22	0.400451979973396	0.253717640860985	0.660758848551367	0
T_CELLS	clust22	0.482247470264592	0.198948790764411	0.590989377981531	0
ENDOTHELIAL_CELL	clust22	-0.397745428723247	0.131671334505839	0.509447033620045	0
MAST_CELLS	clust22	0.12848963650079	0.47771483674483	1	0
FIBROBLASTS	clust22	0.209631602308004	0.40633741696766	0.894528259871044	0
CANCER_CELLS	clust22	0.590767677042745	0.138392507156881	0.517473796424599	0
B_CELLS	clust23	0.195064577692928	0.245152429319957	0.500781071197913	0
MACROPHAGES	clust23	-0.931120184625801	0.0542281381016318	0.362558677952252	0
DENDRITIC_CELLS	clust23	-0.84328175177918	0.0769097708112027	0.388666020833741	0
T_CELLS	clust23	-0.235753594886974	0.425391922595247	0.849226220745355	0
ENDOTHELIAL_CELL	clust23	0.354873069412509	0.154936248037393	0.457571759442471	0
MAST_CELLS	clust23	0.162886689450062	0.266231594294869	0.51798949180273	0
FIBROBLASTS	clust23	0.160852197070525	0.267594542184289	0.519246829706478	0
CANCER_CELLS	clust23	-0.0110519307590097	0.393661028159749	0.743037508803181	0
