Pvalue.All.mLog	BCELL	FIBROBLAST	MACROPHAGE	TCELL
clust1	NA	1.1882243973578	2.83831539641837	0.446949884719953
clust2	0.66289269802996	0.590868248106197	1.66087011120526	NA
clust3	0.891598119283784	NA	1.02165124753198	0.655406793317841
clust4	NA	0.825636373606024	NA	0.916290731874155
clust5	0.489319383084035	3.73766961028337	NA	NA
clust6	NA	1.08235180973181	3.63230911982554	NA
clust7	NA	0.573002846076373	3.19710197993403	0.957963452742808
