Pvalue.All.mLog	BCELL	EPITHELIAL	FIBROBLAST	MACROPHAGE	TCELL
clust1	0.2484613592985	29.9336062089226	NA	NA	NA
clust2	NA	29.9336062089226	NA	NA	0.131113004996956
clust3	NA	1.26176390062017	1.07852893607308	NA	NA
clust4	0.229374045596097	29.9336062089226	NA	0.291134598901489	NA
clust5	NA	29.9336062089226	NA	0.0178142354581336	0.0309447892779931
clust6	0.0449513837243353	0.182069388591029	NA	NA	29.9336062089226
clust7	2.15948424402004	5.05751890439511	NA	NA	NA
