Input_Sample	BCELL	MYELOID	STROMAL	TCELL	TUMOR
clust1	0	0	0	0.999999999999979	0
clust2	0	0.3333333333333333	0.3333333333333333	0	0.3333333333333333
clust3	0	0	0.9999999999999858	0	0
clust4	0.8031999771090874	0	0	0.19680002289091264	0
clust5	0.9999999999996694	0	0	0	0
clust6	0.9999999999980574	0	0	0	0
clust7	0.9999999999996991	0	0	0	0
clust8	0.13161639175441303	0	0	0.8683836082455869	0
clust9	0	0	0.75	0.25	0
clust10	0.36150306769439566	0	0	0.6384969323056043	0
