PVALUES	clust1	clust2	clust3	clust4	clust5	clust6	clust7	clust8	clust9	clust10
BCELL	0.285552348174606	0.296615110534491	0.300552811764983	0.413526396440892	0.277807612216127	0.281471616263559	0.126066438351101	0.378298231999854	0.13999633970631	0.186002974815226
TCELL	0.124120566446715	0.124322015017339	0.264274396967481	0.19141473045415	0.124123736220167	0.124106689281415	0.328350919262715	0.131724447270928	0.185865836067559	0.425478099600641
STROMAL	0.278196762733973	0.267797371433216	0.124448198996709	0.13759732776773	0.28595194892207	0.282231739299001	0.241741128458956	0.209452259951692	0.425790561663889	0.139932926081478
