	Tirosh_Melanoma	Chung_BC	Li_CRC	JA_Melanoma	Darmanis_GBM	vanGalan_AML	Lambrechts_LC	Peng_PC
CaSTLe	0.3137184722454205	0.12602017334390775	0.07969367416027305	0.6323659820631687	0.2281229056411711	0.1607754995649354	3.6485228324279952	2.657723464694687
Cell_BLAST	19.00607053607664	6.567366948646816	5.257275438035187	27.184627593523928	9.405242555696631	206.31999776227664	436.3134365436162	585.2226654665404
kNN9	0.07878270438842497	0.026319248952464038	0.0207651301720294	0.0819378338776224	0.0367039658620133	7.060638952710943	6.35223249376561	20.433712425220243
LAmbDA	30.061398846805368	10.119988373904697	5.262724925263623	23.536726350538487	10.461836253015225	27.317747230541247	9.804395120353803	39.309594008670665
LDA	0.29593988813928307	0.09026709641648802	0.17466263664912618	1.8394260295248748	0.5946388331785151	8.04948423247317	109.77212003795228	0.0
LDArej	0.2604171254805196	0.14535681028713046	0.14805552370493155	1.6656883871251453	0.5788147422950323	22.472424819989786	228.4074361053372	0.0
NMC	0.02143076832417146	0.03058665354460881	0.018202722980863107	0.07754761147356946	0.04706742484211051	0.754899377308484	0.22117019083658596	0.8744680824996863
RF	0.06698611508536541	0.030606437110675577	0.01886862830615863	0.8552574755147592	0.07448296742026052	0.6545265848533461	1.654093514910956	2.679114736221037
scmapcell	0.025055631521965778	0.038307664337724645	0.004739589389179872	0.09080305883126448	0.029892397109624446	0.7873692395898276	1.6583087421119185	4.951372513865576
scmapcluster	0.2716365213918187	0.6796976516183999	0.013851677128858679	0.04372109493394461	0.02144101877812934	0.35012971105197566	0.23973950361990864	0.26784788433764006
scPred	2.9164904412356187	0.1455949989912901	0.9992168467754892	7.719513027935391	2.18177455441069	188.6549381609146	537.9545832763565	220.54943033697302
SingleCellNet	5.173755812157694	0.14844310799650523	1.1930199111700996	20.681810561484046	4.161778836535624	105.0260043858764	7520.380379574421	2227.7062263710577
SVM	0.28464683838780797	0.07180266288323718	0.04194516999191047	10.438718398277704	0.027962047389388026	2.051970204145586	0.9362799418712797	3.6144672596812337
SVMrej	0.6517049180218387	0.13529297426430276	0.06913245503904139	14.792432266085854	0.15442929125799484	4.586717105261839	1.5466252249788266	15.809011077896114
