Input_Sample	P-value	Pearson Correlation	RMSE
clust1	0.001034126163391934	0.6177427722233025	0.8636167667673954
clust2	0.001034126163391934	0.5295797547314421	0.8534706864992895
clust3	0.055842812823164424	0.29440936903975307	0.9735303523886399
clust4	0.001034126163391934	0.6084686968597639	0.8163252113158282
clust5	0.0	0.6382751139844725	0.8632497934357806
clust6	0.96794208893485	-0.07619376990461338	1.1760740105576137
clust7	0.011375387797311272	0.40909102760419425	1.1590669900949895
clust8	0.8831437435367114	-0.04282810182392081	1.2700905857072118
clust9	0.7673216132368149	-0.008797749171957518	1.1871401766848182
clust10	0.3216132368148914	0.14843556292010532	1.0711229621142897
clust11	0.0	0.658863058507982	0.8034850206025026
clust12	0.17890382626680454	0.20901254371047648	1.1462614197713228
clust13	0.5129265770423992	0.07957876390955736	1.034061370877975
clust14	0.17063081695966908	0.21193914603140973	0.9915712084087623
clust15	0.5211995863495347	0.07783016466592498	1.1184205696069287
clust16	0.001034126163391934	0.5127913274736704	0.95033684345312
clust17	0.001034126163391934	0.5535592013158294	0.88098850423666
