FDRQvalue.P0.01.Q0.25	GMP	GMP_LIKE	HSC_PROG	HSC_PROG_LIKE	MYELOID	MYELOID_LIKE
clust2	NS	NS	NS	NS	NS	NS
clust3	NS	NS	NS	NS	0.0019999999	0.0019999999
clust4	NS	NS	0.029999996	NS	NS	NS
clust6	NS	NS	NS	0.047999978	NS	NS
clust7	NS	NS	NS	NS	NS	NS
clust8	NS	NS	NS	NS	NS	0.04599998
clust9	NS	NS	0.051999986	0.03900002	NS	NS
clust11	NS	NS	NS	NS	NS	NS
clust13	NS	NS	NS	NS	NS	NS
clust15	NS	NS	NS	NS	NS	NS
clust16	NS	NS	NS	9.999999E-4	NS	NS
