Pvalue.P0.01.Q0.25	CAF	ENDO.	T.CD8	T.CELL
clust1	NS	NS	NA	NA
clust2	NS	NS	NA	NA
clust3	NA	NA	NS	NA
clust4	NA	NA	NA	NA
clust5	NS	NA	NA	NA
clust6	NA	NA	NS	NA
clust7	NS	NA	NA	NA
clust8	NA	NA	NA	NA
clust9	NA	NA	NA	NA
clust10	NA	NA	NS	NA
clust11	NS	NS	NA	NA
clust12	NA	NA	NA	NA
clust13	NA	NA	NS	NA
clust14	NA	NA	NA	NA
clust15	NA	NA	NS	NA
clust16	NA	NA	0.0	NA
clust17	NA	NA	NS	NS
