FDRQvalue.All	CAF	ENDO.	T.CD8	T.CELL
clust1	0.53205127	0.89102566	NA	NA
clust2	0.80463576	1.0	NA	NA
clust3	NA	NA	0.89705884	NA
clust4	NA	NA	NA	NA
clust5	0.6363636	NA	NA	NA
clust6	NA	NA	0.9628099	NA
clust7	0.16571428	NA	NA	NA
clust8	NA	NA	NA	NA
clust9	NA	NA	NA	NA
clust10	NA	NA	1.0	NA
clust11	0.22543353	0.22254336	NA	NA
clust12	NA	NA	NA	NA
clust13	NA	NA	0.10084034	NA
clust14	NA	NA	NA	NA
clust15	NA	NA	1.0	NA
clust16	NA	NA	0.044354837	NA
clust17	NA	NA	0.79924244	1.0
